DATE,Bajaj Signal,Eicher Signal,Hero Signal,TVS Signal,Infosys Signal,TCS Signal
8/11/2015,Buy,Buy,Buy,Buy,Sell,Sell
8/12/2015,Buy,Buy,Buy,HOLD,Sell,Sell
8/13/2015,Buy,Buy,Buy,Sell,Sell,Sell
8/14/2015,Buy,Buy,Buy,Sell,Sell,Sell
8/17/2015,Buy,Buy,Buy,Sell,Sell,Sell
8/18/2015,Buy,Buy,Buy,Sell,Buy,Buy
8/19/2015,Buy,Buy,Buy,Sell,Buy,Buy
8/20/2015,Buy,Buy,Buy,Sell,Buy,Buy
8/21/2015,Buy,Sell,Buy,Sell,Buy,Buy
8/24/2015,Sell,Sell,Buy,Sell,Buy,Buy
8/25/2015,Sell,Sell,Buy,Sell,Buy,Buy
8/26/2015,Sell,Sell,Buy,Sell,Buy,Buy
8/27/2015,Sell,Sell,Buy,Sell,Buy,Buy
8/28/2015,Sell,Sell,HOLD,Sell,Buy,Buy
8/31/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/1/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/2/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/3/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/4/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/7/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/8/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/9/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/10/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/11/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/14/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/15/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/16/2015,Sell,Sell,Sell,Sell,Buy,Buy
9/18/2015,Sell,Sell,Sell,Sell,Buy,HOLD
9/21/2015,Sell,Sell,Sell,Sell,Buy,Sell
9/22/2015,Sell,Sell,Sell,Sell,HOLD,Sell
9/23/2015,Sell,Sell,Sell,Sell,HOLD,Sell
9/24/2015,Sell,Sell,Sell,Sell,HOLD,Sell
9/28/2015,Sell,Sell,Sell,Sell,HOLD,Sell
